# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCD4	ABCD4	NM_001353604.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353605.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353606.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353607.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353608.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353609.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353610.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_005050.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_020324.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_020325.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_003256.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148466.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148467.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148468.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148469.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148470.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148471.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148472.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148473.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148474.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCF2	ABCF2	NM_007189.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ABHD8	ABHD8	NM_024527.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282925.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282926.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282927.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282932.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	ABI2	NM_005759.6	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349329.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349330.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349331.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349332.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365642.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365643.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_015429.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABL1	ABL1	NM_007313.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136001.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168236.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168237.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168238.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABL2	ABL2	NM_007314.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ABR.2	NM_001159746.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ABR.2	NM_001322840.2.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ABR.2	NM_001322841.2.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ABR.2	NM_021962.5.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACADS	ACADS	NM_000017.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACADS	ACADS	NM_001302554.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACAP2	ACAP2	NM_012287.6	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
ACBD5	ACBD5	NM_001042473.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001271512.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001301251.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001301252.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001301253.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001301254.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352568.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352569.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352570.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352571.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352572.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352573.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352574.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352575.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352576.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352577.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352578.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352579.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352580.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352581.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352582.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352583.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352584.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352585.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352586.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352587.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_001352588.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACBD5	ACBD5	NM_145698.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACIN1	ACIN1	NM_001164814.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACIN1	ACIN1	NM_001164815.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACIN1	ACIN1	NM_001164816.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACIN1	ACIN1	NM_001164817.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACIN1	ACIN1	NM_014977.3	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACO2	ACO2	NM_001098.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ACOT13	ACOT13	NM_001160094.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACOT13	ACOT13	NM_018473.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACP1	ACP1	NM_001040649.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ACP1	ACP1	NM_004300.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACP1	ACP1	NM_007099.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACP1	ACP1	NR_024080.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NM_001127214.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NM_001243279.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NM_001284316.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NM_174917.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NR_045667.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NR_104293.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NR_147928.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSF3	ACSF3	NR_147929.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACSM6	ACSM6	NM_207321.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ACTR1B	ACTR1B	NM_005735.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACVR1	ACVR1	NM_001105.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001111067.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347663.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347664.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347665.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347666.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM10	ADAM10	NM_001110.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM10	ADAM10	NM_001320570.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_001288973.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_001288974.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_001288975.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_003474.6	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_021641.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324417.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324418.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324419.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324420.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324421.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_004194.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_016351.6	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021721.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021722.6	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021723.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAM23	ADAM23	NM_003812.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAM5	ADAM5	NR_001448.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12.2	NM_001324512.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12.2	NM_030955.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS16	ADAMTS16	NM_139056.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS16	ADAMTS16	NR_136935.2		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS18	ADAMTS18	NM_001326358.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS18	ADAMTS18	NM_199355.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS19	ADAMTS19	NM_133638.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS2	ADAMTS2.2	NM_014244.5	protein_coding	0	0	1	4	0	0	0	0	4	1	0	0	0	0	0	0
ADAMTS2	ADAMTS2.2	NM_021599.4.2	protein_coding	0	0	1	4	0	0	0	0	4	1	0	0	0	0	0	0
ADAMTS3	ADAMTS3	NM_014243.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADAMTS9-AS2	ADAMTS9-AS2	NR_038264.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL1	ADAMTSL1	NM_001040272.6	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
ADAMTSL1	ADAMTSL1	NM_052866.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL2	ADAMTSL2	NM_001145320.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL2	ADAMTSL2	NM_014694.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL4	ADAMTSL4	NM_001288607.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL4	ADAMTSL4	NM_001288608.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL4	ADAMTSL4	NM_019032.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL4	ADAMTSL4	NM_025008.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTSL5	ADAMTSL5	NM_001367197.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL5	ADAMTSL5	NM_213604.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADARB2	ADARB2	NM_018702.4	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
ADARB2-AS1	ADARB2-AS1	NR_033387.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADCK2	ADCK2	NM_052853.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADCK5	ADCK5	NM_174922.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADCY1	ADCY1	NM_001281768.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ADCY1	ADCY1	NM_021116.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADCY10	ADCY10	NM_001167749.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADCY10	ADCY10	NM_001297772.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ADCY10	ADCY10	NM_018417.6	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ADCY2	ADCY2	NM_020546.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGB	ADGB	NM_024694.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRA1	ADGRA1	NM_001083909.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRA1	ADGRA1	NM_001291085.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRB1	ADGRB1	NM_001702.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRB3	ADGRB3	NM_001704.3	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0
ADGRE5	ADGRE5	NM_001025160.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRE5	ADGRE5	NM_001784.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRE5	ADGRE5	NM_078481.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRG3	ADGRG3	NM_001308360.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ADGRG3	ADGRG3	NM_170776.5	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ADGRG7	ADGRG7	NM_001308362.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRG7	ADGRG7	NM_032787.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297704.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297705.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297706.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001330645.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001350698.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001350699.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366002.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366003.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366004.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366005.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366006.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366007.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366008.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366009.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_012302.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001322246.2	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001322402.2	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001371342.1	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001371343.1	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001371344.1	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001371345.1	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_001371346.1	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADGRL3	ADGRL3	NM_015236.6	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ADK	ADK	NM_001123.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADK	ADK	NM_001202449.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADK	ADK	NM_001202450.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADK	ADK	NM_001369123.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADK	ADK	NM_001369124.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADK	ADK	NM_006721.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADTRP	ADTRP	NM_001143948.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADTRP	ADTRP	NM_032744.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
